City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
222,Port Augusta,AU,2022-09-23 15:38:46,-32.5,137.7667,52.39,89,26,13.89,scattered clouds
223,Kaitangata,NZ,2022-09-23 15:38:47,-46.2817,169.8464,43.32,96,33,3.78,scattered clouds
224,Zhigansk,RU,2022-09-23 15:38:47,66.7697,123.3711,29.01,81,97,6.78,overcast clouds
225,Port Macquarie,AU,2022-09-23 15:38:48,-31.4333,152.9167,60.89,100,100,0.0,overcast clouds
226,Moletai,LT,2022-09-23 15:38:50,55.2333,25.4167,51.13,63,97,5.41,overcast clouds
227,Ganzhou,CN,2022-09-23 15:38:51,28.8184,115.4327,70.32,66,81,6.44,broken clouds
228,Coihaique,CL,2022-09-23 15:39:52,-45.5752,-72.0662,48.15,43,40,8.05,scattered clouds
229,Coahuayana,MX,2022-09-23 15:39:52,18.7333,-103.6833,84.9,71,23,0.25,few clouds
230,Wattegama,LK,2022-09-23 15:39:53,6.7989,81.4808,80.04,66,13,2.06,few clouds
231,Muhos,FI,2022-09-23 15:39:53,64.808,25.9931,53.38,75,73,5.84,broken clouds
232,Pouembout,NC,2022-09-23 15:39:54,-21.1333,164.9,68.79,91,0,4.76,clear sky
233,Miandrivazo,MG,2022-09-23 15:39:54,-19.5167,45.4667,83.43,49,26,10.8,scattered clouds
234,Tuatapere,NZ,2022-09-23 15:39:54,-46.1333,167.6833,44.76,94,84,1.57,broken clouds
235,Thompson,CA,2022-09-23 15:39:55,55.7435,-97.8558,50.16,81,20,6.91,few clouds
236,Andenes,NO,2022-09-23 15:39:55,69.3143,16.1194,55.38,82,75,3.44,broken clouds
237,Kahului,US,2022-09-23 15:39:55,20.8947,-156.47,77.85,68,0,5.75,clear sky
238,Pisco,PE,2022-09-23 15:39:55,-13.7,-76.2167,60.85,82,100,4.61,mist
239,Luderitz,NA,2022-09-23 15:39:56,-26.6481,15.1594,61.84,69,3,20.07,clear sky
240,Constitucion,CL,2022-09-23 15:39:56,-35.3333,-72.4167,59.05,67,100,13.35,overcast clouds
241,Ahipara,NZ,2022-09-23 15:39:57,-35.1667,173.1667,56.37,87,73,13.8,broken clouds
242,Grindavik,IS,2022-09-23 15:39:57,63.8424,-22.4338,50.47,76,75,10.36,broken clouds
243,Sao Felix Do Xingu,BR,2022-09-23 15:39:57,-6.6447,-51.995,104.36,21,1,2.33,clear sky
244,Praia Da Vitoria,PT,2022-09-23 15:36:00,38.7333,-27.0667,79.05,73,75,21.36,broken clouds
245,Fort-Shevchenko,KZ,2022-09-23 15:39:58,44.5086,50.263,71.76,75,0,11.21,clear sky
246,Osakarovka,KZ,2022-09-23 15:39:58,50.565,72.5692,66.43,45,3,11.72,clear sky
247,Maralal,KE,2022-09-23 15:39:58,1.0968,36.698,69.26,39,46,14.63,scattered clouds
248,Sabha,LY,2022-09-23 15:39:59,27.0377,14.4283,102.22,7,14,12.1,few clouds
249,Kilindoni,TZ,2022-09-23 15:39:59,-7.9139,39.6668,77.32,80,29,14.45,scattered clouds
250,Kavaratti,IN,2022-09-23 15:40:00,10.5669,72.642,81.61,75,88,11.81,overcast clouds
251,Pamekasan,ID,2022-09-23 15:40:00,-7.1568,113.4746,81.68,77,45,6.55,scattered clouds
252,Vuktyl,RU,2022-09-23 15:40:00,63.8567,57.3094,41.79,87,100,4.16,overcast clouds
253,Margate,GB,2022-09-23 15:40:01,51.3813,1.3862,60.31,91,100,1.99,overcast clouds
254,Bobcaygeon,CA,2022-09-23 15:40:01,44.5462,-78.542,51.15,38,6,9.31,clear sky
255,Jacareacanga,BR,2022-09-23 15:40:01,-6.2222,-57.7528,100.94,27,7,3.47,clear sky
256,Willowmore,ZA,2022-09-23 15:40:02,-33.2926,23.4895,56.25,62,99,16.33,overcast clouds
257,Presidencia Roque Saenz Pena,AR,2022-09-23 15:40:02,-26.7852,-60.4388,75.87,17,0,6.38,clear sky
258,Naze,JP,2022-09-23 15:40:02,28.3667,129.4833,77.92,86,57,7.99,broken clouds
